table_index,label,source_line,cpc_comment_id,name,category,raw_bytes_hex
23,spr24,1299,23,ENEMY SHIP REAR,ship.enemy,00 00 00 00 00 00 00 00 00 00 0f 0f 0f 0f 0f 0e
24,spr25,1302,24,HILL UP 1,environment.land.hill,00 30 00 f0 10 f0 10 f0 30 f0 30 f0 70 f0 f0 f0
25,spr26,1305,25,HILL UP 2,environment.land.hill,00 30 00 30 30 70 30 f0 70 f0 70 f0 f0 f0 f0 f0
26,spr27,1308,26,HILL UP 3,environment.land.hill,00 00 00 10 00 30 00 30 00 70 00 70 00 f0 70 f0
27,spr28,1311,27,HILL UP 4,environment.land.hill,00 20 00 30 00 70 00 70 00 f0 00 f0 10 f0 70 f0
28,spr29,1314,28,HILL DOWN 1,environment.land.hill,c0 00 f0 00 f0 80 f0 80 f0 c0 f0 c0 f0 e0 f0 f0
29,spr30,1317,29,HILL DOWN 2,environment.land.hill,c0 00 c0 00 e0 c0 f0 c0 f0 e0 f0 e0 f0 f0 f0 f0
30,spr31,1320,30,HILL DOWN 3,environment.land.hill,00 00 80 00 c0 00 c0 00 e0 00 e0 00 f0 00 f0 e0
31,spr32,1323,31,HILL DOWN 4,environment.land.hill,40 00 c0 00 e0 00 e0 00 f0 00 f0 00 f0 80 f0 e0
32,spr33,1326,32,GRASS 0,environment.land.surface,a0 a0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0
33,spr34,1329,33,GRASS 1,environment.land.surface,e0 60 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0
34,spr35,1332,34,GRASS 2,environment.land.surface,30 d0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0
35,spr36,1335,35,GRASS 3,environment.land.surface,d0 70 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0 f0
36,spr37,1338,36,ENEMY PLANE FRONT,aircraft.enemy,00 00 00 01 03 0f 0f 0f 00 01 00 00 00 00 00 00
37,spr38,1341,37,ENEMY PLANE BACK,aircraft.enemy,03 03 0f 07 0f 0f 0f 0f 0f 0c 07 0e 00 0e 00 00
38,spr39,1344,38,ENEMY PLANE BROKE FRONT,aircraft.enemy,04 04 00 09 01 0c 03 09 07 02 06 01 04 00 08 04
39,spr40,1347,39,ENEMY PLANE BROKE BACK,aircraft.enemy,08 00 0e 00 07 08 07 0b 07 0f 03 0f 03 02 00 00
40,spr41,1350,40,BOMB LAUNCHED,weapon.bomb,00 00 00 00 02 00 00 00 00 08 00 04 00 00 00 00
41,spr42,1353,41,BOMB DESCENDING,weapon.bomb,00 00 00 00 00 08 00 00 00 08 00 08 00 00 00 00
42,spr43,1356,42,RADAR,ground_target.radar,00 04 00 04 00 04 00 08 01 08 0e 0c 00 0a 00 09
43,spr44,1359,43,MISSILE LAUNCHER,ground_target.launcher,02 00 01 00 02 08 04 04 02 0b 03 02 02 00 07 00
44,spr45,1362,44,GUN,ground_target.gun,00 00 08 00 04 04 02 08 01 00 03 08 07 0c 01 0c
45,spr46,1365,45,TANK FRONT,ground_target.tank,00 00 02 00 01 08 00 07 00 03 01 0f 00 00 00 0f
46,spr47,1368,46,TANK REAR,ground_target.tank,00 00 00 00 00 00 0c 00 0e 00 0f 08 00 00 0f 00
47,spr48,1371,47,EJECTOR SEAT,pilot.eject,00 00 00 00 00 00 00 00 00 00 02 00 03 00 01 00
48,spr49,1374,48,CHUTE LEFT,pilot.parachute,00 00 00 0e 01 0c 03 0a 07 02 06 02 05 0e 00 01
49,spr50,1377,49,CHUTE,pilot.parachute,01 08 03 0e 0f 0f 08 01 04 02 03 04 00 08 00 08
50,spr51,1380,50,CHUTE RIGHT,pilot.parachute,00 00 07 00 03 08 05 0c 04 0e 04 06 07 0a 08 00
51,spr52,1383,51,SMOKE 1,effect.smoke,01 00 03 02 07 04 03 02 01 03 00 0b 00 0a 02 04
52,spr53,1386,52,SMOKE 2,effect.smoke,04 05 04 01 02 03 03 03 03 02 0a 06 07 0a 0b 05
53,spr54,1389,53,MISSILE ASCENDING LEFT,weapon.missile,00 00 04 00 02 00 01 00 00 08 00 04 00 03 00 02
54,spr55,1392,54,MISSILE DESCENDING LEFT,weapon.missile,00 02 00 03 00 04 00 08 01 00 02 00 04 00 00 00
55,spr56,1395,55,MISSILE LEFT,weapon.missile,00 00 00 00 00 00 00 01 0f 0e 00 01 00 00 00 00
56,spr57,1398,56,MISSILE RIGHT,weapon.missile,00 00 00 00 00 00 08 00 07 0f 08 00 00 00 00 00
57,spr58,1401,57,FLAK 1,weapon.flak,00 00 01 00 00 04 01 00 00 08 02 00 00 00 00 00
58,spr59,1404,58,FLAK 2,weapon.flak,00 00 00 00 00 00 00 08 00 01 00 0c 00 00 00 04
59,spr60,1407,59,ROOF FRONT,town.roof,00 00 00 00 00 00 00 00 01 0f 03 0f 07 0f 0f 0f
60,spr61,1410,60,ROOF BACK,town.roof,00 00 00 00 00 00 00 00 0f 08 0f 0c 0f 0e 0f 0f
61,spr62,1413,61,SQUARE ROOF,town.roof,00 00 00 00 00 00 00 00 0f 0f 0f 0f 0f 0f 0f 0f
62,spr63,1416,62,POINTED ROOF,town.roof,00 00 00 00 00 00 00 00 01 08 03 0c 07 0e 0f 0f
63,spr64,1426,63,TOWER BLOCK 1,town.building,0f 0f 09 09 09 09 0f 0f 0f 0f 03 69 03 69 03 0f
64,spr65,1433,64,TOWER BLOCK 2,town.building,0f 0f 69 09 6f 09 0f 0f 0f 0f 09 09 09 09 0f 0f
65,spr66,1440,65,TOWER BLOCK 3,town.building,0f 0f 09 09 09 6f 0f 0f 0f 0f 69 09 09 09 09 0f
66,spr67,1447,66,JEEP,ground_target.vehicle,00 00 00 00 00 00 02 00 02 00 0e 07 0f 0f 04 02
67,spr68,1450,67,PLANE BROKE 1,aircraft,00 00 00 0e 03 0e 0f 0e 07 0c 03 08 01 00 00 00
68,spr69,1453,68,PLANE BROKE 2,aircraft,00 08 01 08 03 0c 07 0c 03 0e 01 0e 00 0e 00 00
69,spr70,1456,69,PLANE BROKE 3,aircraft,00 00 00 00 00 0f 03 0f 07 0f 03 0f 00 03 00 00
70,spr71,1459,70,TRUCK 1,ground_target.vehicle,00 07 00 07 07 07 05 07 0f 07 0f 07 0f 0f 06 00
71,spr72,1462,71,TRUCK 2,ground_target.vehicle,0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 00 0c
72,spr73,1465,72,DOCK 1,pier.dock,00 00 0f 0f 0f 0f 00 08 08 08 04 09 02 0a 01 0c
73,spr74,1468,73,DOCK 2,pier.dock,00 00 0f 0f 0f 0f 07 00 0a 08 02 04 02 02 02 01
74,spr75,1471,74,DOCK 3,pier.dock,00 00 0f 0f 0f 0f 00 07 00 0a 01 02 02 02 04 02
75,spr76,1474,75,HARRIER FLIGHT 1,aircraft.harrier,00 00 04 0f 06 07 07 0f 03 07 02 07 00 0e 00 00
76,spr77,1477,76,HARRIER FLIGHT 2,aircraft.harrier,00 00 00 00 0f 08 0f 0e 0c 00 08 00 00 00 00 00
77,spr78,1480,77,CLOUD 1,environment.cloud,00 00 77 00 33 ff 11 00 00 22 77 ff 00 ff 33 ff
78,spr79,1483,78,CLOUD 2,environment.cloud,00 00 ff 00 ff ff 88 ff 00 77 ff ff ff ff ff 88
79,spr80,1486,79,CLOUD 3,environment.cloud,00 00 00 cc 77 ff ff ff ff ff ff ff ff ff 00 ff
80,spr81,1489,80,CLOUD 4,environment.cloud,00 00 00 bb 11 ff 00 00 ff ff 33 77 00 33 00 00
81,spr82,1492,81,CLOUD 5,environment.cloud,00 00 cc ff ff ff ff ff ff ff ff 99 22 00 00 00
82,spr83,1495,82,CLOUD 6,environment.cloud,33 ff ff ff ee 44 ff 00 cc 00 00 00 00 00 00 00
83,spr84,1498,83,CLOUD 7,environment.cloud,00 00 88 00 ff 00 ee 00 99 bb ff ff ff ff ff ff
84,spr85,1501,84,CLOUD 8,environment.cloud,00 00 00 00 11 ff ff cc ff 00 ee 00 ff ee ff ff
85,spr86,1504,85,CLOUD 9,environment.cloud,ff ff ff ee 33 ff 00 ff 00 33 00 77 77 ff 00 00
86,spr87,1507,86,CLOUD 10,environment.cloud,ff 00 00 00 00 00 00 00 ff cc ff 00 ff ee 00 cc
87,spr88,1510,87,CLOUD 11,environment.cloud,00 00 00 00 00 33 00 33 00 ff 00 11 77 ff 00 00
88,spr89,1513,88,CLOUD 12,environment.cloud,00 00 44 ff dd ff ff ff ff ff ff ff ff ff ff ff
89,spr90,1516,89,CLOUD 13,environment.cloud,00 00 cc 11 ff bb ff ff ff ff ff ff ff ff ff ff
90,spr91,1519,90,CLOUD 14,environment.cloud,66 00 ff cc ff ff ff ff ff ff ff ff ff ff ff ff
91,spr92,1522,91,CLOUD 15,environment.cloud,00 33 77 ff ff ff ff ff ff ff ff ff ff ff ff ff
92,spr93,1525,92,CLOUD 16,environment.cloud,ff ff ff ff ff 88 cc 00 00 00 ff 88 ff cc ff ee
93,spr94,1528,93,CLOUD 17,environment.cloud,ff ff ff ff 00 ff 33 ff ff ff 11 ff 11 ff 00 00
94,spr95,1531,94,CLOUD 18,environment.cloud,ff ff ff ff ff ff ff ff ff ff ff ff dd 99 00 00
95,spr96,1534,95,CLOUD 19,environment.cloud,ff 00 ff ff ff ff ff ff ff ff ff cc cc 00 00 00
96,spr97,1537,96,CLOUD 20,environment.cloud,00 00 00 00 cc 00 ff cc 00 00 00 00 00 00 00 00
97,spr98,1540,97,HOLE IN LAND SPRITE,environment.land,00 00 00 00 80 10 c0 10 c0 30 c0 30 e0 70 f0 f0
98,spr99,1549,,spr99,unknown,00 00 00 02 00 04 00 08 01 00 02 00 0c 00 04 00
99,spr100,1558,,spr100,unknown,04 00 0c 00 02 00 01 00 00 08 00 04 00 02 00 00
100,spr101,1567,,spr101,unknown,01 04 00 08 00 08 00 08 00 08 00 08 00 08 00 00
101,spr102,1576,,spr102,unknown,00 00 00 08 00 08 00 08 00 08 00 08 00 08 01 04
